Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Bt_AvancaCad""))",Chrome 71.0.3578.98,,2019-01-17 13:15:18,2019-01-17 13:15:18,"0,142s",PASSED
"waitForElementPresent(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/SelecionarOpDeCliente""), 0)",Chrome 71.0.3578.98,,2019-01-17 13:15:18,2019-01-17 13:15:18,"0,047s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/SelecionaCelular""))",Chrome 71.0.3578.98,,2019-01-17 13:15:18,2019-01-17 13:15:18,"0,186s",PASSED
"setText(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/SetCampoCelular""), ""0000"")",Chrome 71.0.3578.98,,2019-01-17 13:15:18,2019-01-17 13:15:18,"0,341s",PASSED
"delay(2, STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-17 13:15:18,2019-01-17 13:15:20,"2,002s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/li_00 00000-0000 - Teste Katal""))",Chrome 71.0.3578.98,,2019-01-17 13:15:20,2019-01-17 13:15:21,"0,139s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/FormClienteClick""))",Chrome 71.0.3578.98,,2019-01-17 13:15:21,2019-01-17 13:15:21,"0,375s",PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-17 13:15:21,2019-01-17 13:15:22,"1,002s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Bt_AvancaCad""))",Chrome 71.0.3578.98,,2019-01-17 13:15:22,2019-01-17 13:15:22,"0,110s",PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-17 13:15:22,2019-01-17 13:15:23,"1,001s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/OpProduto""))",Chrome 71.0.3578.98,,2019-01-17 13:15:23,2019-01-17 13:15:23,"0,157s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/OpProdPorModelo""))",Chrome 71.0.3578.98,,2019-01-17 13:15:23,2019-01-17 13:15:23,"0,145s",PASSED
"setText(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/SetCampoModelo""), ""XT171"")",Chrome 71.0.3578.98,,2019-01-17 13:15:23,2019-01-17 13:15:24,"0,750s",PASSED
"delay(2, STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-17 13:15:24,2019-01-17 13:15:26,"2,003s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/li_Teste XT1710 Branco MOTOROL1""))",Chrome 71.0.3578.98,,2019-01-17 13:15:26,2019-01-17 13:15:26,"0,130s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Bt_Buscar""))",Chrome 71.0.3578.98,,2019-01-17 13:15:26,2019-01-17 13:15:26,"0,134s",PASSED
"waitForElementPresent(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/imgConfirmar""), 3)",Chrome 71.0.3578.98,,2019-01-17 13:15:26,2019-01-17 13:15:28,"1,582s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/imgConfirmar""))",Chrome 71.0.3578.98,,2019-01-17 13:15:28,2019-01-17 13:15:28,"0,139s",PASSED
acceptAlert(),Chrome 71.0.3578.98,,2019-01-17 13:15:28,2019-01-17 13:15:28,"0,013s",PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-17 13:15:28,2019-01-17 13:15:30,"2,013s",PASSED
